Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][1760/1856]: lr: 0.000306, aux_loss_cls: 0.109797, aux_loss_reg: 0.537993, rpn_loc_loss: 1.201182, rpn_cls_loss: 0.567683, rpn_dir_loss: 0.138834, loss_cls: 0.158895, loss: 2.714385
epoch[1][1780/1856]: lr: 0.000306, aux_loss_cls: 0.110879, aux_loss_reg: 0.536981, rpn_loc_loss: 1.144256, rpn_cls_loss: 0.566108, rpn_dir_loss: 0.136612, loss_cls: 0.145609, loss: 2.640446
epoch[1][1800/1856]: lr: 0.000306, aux_loss_cls: 0.096302, aux_loss_reg: 0.511236, rpn_loc_loss: 1.141497, rpn_cls_loss: 0.552142, rpn_dir_loss: 0.138047, loss_cls: 0.175702, loss: 2.614925
epoch[1][1820/1856]: lr: 0.000306, aux_loss_cls: 0.100925, aux_loss_reg: 0.532822, rpn_loc_loss: 1.223003, rpn_cls_loss: 0.557866, rpn_dir_loss: 0.137812, loss_cls: 0.160193, loss: 2.712621
epoch[1][1840/1856]: lr: 0.000306, aux_loss_cls: 0.090421, aux_loss_reg: 0.476775, rpn_loc_loss: 1.103103, rpn_cls_loss: 0.548405, rpn_dir_loss: 0.138854, loss_cls: 0.205503, loss: 2.563061
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[2][20/1856]: lr: 0.000307, aux_loss_cls: 0.100203, aux_loss_reg: 0.508516, rpn_loc_loss: 1.203832, rpn_cls_loss: 0.679683, rpn_dir_loss: 0.138703, loss_cls: 1.314886, loss: 3.945822
epoch[2][40/1856]: lr: 0.000307, aux_loss_cls: 0.111374, aux_loss_reg: 0.585033, rpn_loc_loss: 1.195075, rpn_cls_loss: 0.580138, rpn_dir_loss: 0.137178, loss_cls: 0.218427, loss: 2.827226
epoch[2][60/1856]: lr: 0.000307, aux_loss_cls: 0.101872, aux_loss_reg: 0.539651, rpn_loc_loss: 1.188646, rpn_cls_loss: 0.570364, rpn_dir_loss: 0.137985, loss_cls: 0.213530, loss: 2.752049
epoch[2][80/1856]: lr: 0.000307, aux_loss_cls: 0.097952, aux_loss_reg: 0.514214, rpn_loc_loss: 1.140958, rpn_cls_loss: 0.562150, rpn_dir_loss: 0.138289, loss_cls: 0.227825, loss: 2.681389
